Ammo Type,Quantity Found,Weight,Cost,Rarity
.38,10+5,0,1,0
10mm,8+4,0,2,0
.308,6+3,0,3,1
Flare,2+1,0,1,1
Shotgun Shell,6+3,0,3,1
.357 Magnum,6+3,0,2,1
Arrow,6+4,0,2,1
.45,8+4,0,3,2
Flamer Fuel,12+6,0,1,2
Fusion Cell,14+7,0,3,2
Gamma Round,4+2,0,10,2
Railway Spike,6+3,0,1,2
Syringer Ammo,4+2,0,1,2
12.7mm,6+3,0,2,2
Crossbow Bolt,4+4,0,3,2
.44 Magnum,4+2,0,3,3
.50,4+2,0,4,3
5.56mm,8+4,0,2,3
5mm,12+6,0,1,3
Fusion Core,1,4,200,3
Missile,2+1,7,25,3
.50 Ball,4+2,0,1,3
Plasma Cartridge,10+5,0,5,4
25mm Grenade,2+1,0,8,4
40mm Grenade Round,2+1,0,20,4
2mm EC,6+3,0,10,5
Alien Power Cells,4+2,0,5,5
Plasma Core,1,4,200,5
Mini-Nuke,1+1,12,100,6
Alien Power Module,3+1,0,10,6
