Item,Damage Resistances,,,Locations covered,,,,Weight,Cost,Rarity,Effects
,Physical,Energy,Radiation,Head/Optics,Arms,Legs/Thrusters,Torso/Main Body,,,/Perks,
CLOTHING,,,,,,,,,,,
Brotherhood of Steel Uniform,1,1,1,FALSE,TRUE,TRUE,TRUE,2,20,2,
Casual Clothing,0,0,0,FALSE,TRUE,TRUE,TRUE,2,20,1,"Wearing casual clothing allows you to re-roll a single d20 on one STR or AGI based skill test you make each scene, as the clothing is easy to move in.

"
Harness,0,0,0,FALSE,TRUE,TRUE,TRUE,1,5,0,
Military Fatigues,0,1,0,FALSE,TRUE,TRUE,TRUE,3,12,1,"Wearing military fatigues allows you to re-roll a single d20 on one STR or AGI based skill test you make each scene, as the fatigues are easy to move in.

"
Road Leathers,1,1,0,FALSE,TRUE,TRUE,TRUE,1,5,1,
Tough Clothing,1,1,0,FALSE,TRUE,TRUE,TRUE,3,20,1,
Vault Jumpsuit,0,1,2,FALSE,TRUE,TRUE,TRUE,1,20,2,
OUTFIT,,,,,,,,,,,
Brotherhood of Steel Fatigues,2,2,2,FALSE,TRUE,TRUE,TRUE,4,20,3,
Brotherhood Scribe's Armour,1,2,2,FALSE,TRUE,TRUE,TRUE,4,20,2,
Cage Armour,3,4,0,TRUE,TRUE,TRUE,TRUE,33,110,3,
Drifter Outfit,1,2,0,FALSE,TRUE,TRUE,TRUE,10,35,1,
Engineer's Armour,1,1,0,TRUE,TRUE,TRUE,TRUE,2,15,1,
Formal Clothing,0,0,0,FALSE,TRUE,TRUE,TRUE,2,30,2,"Wearing formal clothing allows you to
re-roll a single d20 on one CHA-based
skill test you make each scene,
as the clothing helps you make a good
first impression.

"
Hazmat Suit,0,0,20,TRUE,TRUE,TRUE,TRUE,5,85,3,
Heavy Coat,1,1,1,FALSE,TRUE,TRUE,TRUE,2,20,1,"Wearing a heavy coat allows you to re-roll a single d20 on one END-based skill test you make each scene, as it helps protect you from harsh conditions.

"
Hides,1,0,0,FALSE,TRUE,TRUE,TRUE,4,13,0,
Lab Coat,0,0,0,FALSE,TRUE,TRUE,TRUE,2,10,1,"Between the utility of the design, and simply feeling smarter while wearing one, a lab coat allows you to re-roll a single d20 on one INT based skill test you make each scene.

"
Spike Armour,2,2,0,TRUE,TRUE,TRUE,TRUE,17,65,2,
Utility Coveralls,2,0,0,FALSE,TRUE,TRUE,TRUE,2,12,1,"Utility Coveralls increase the wearer's maximum carry weight by +5.

"
HEADGEAR,,,,,,,,,,,
Army Helmet,2,0,0,TRUE,FALSE,FALSE,FALSE,3,20,1,
Brotherhood of Steel Hood,0,1,0,TRUE,FALSE,FALSE,FALSE,"0,5",12,2,
Brotherhood Scribe's Hat,0,2,0,TRUE,FALSE,FALSE,FALSE,"0,5",8,2,
Casual Hat,0,0,0,TRUE,FALSE,FALSE,FALSE,"0,5",15,1,"A character wearing a casual hat ignores any difficulty increases caused by extremely bright light.

"
Formal Hat,0,0,0,TRUE,FALSE,FALSE,FALSE,"0,5",15,2,"Wearing a formal hat ammpws you to re-roll a single d20 on one CHA-based skill test you make each scene, as the clothing helps you make a good first impression.

"
Gas Mask,1,0,3,TRUE,FALSE,FALSE,FALSE,3,10,2,"The gas mask provides +3 Poison damage resistance against any airborne or gaseous poisons and prevents the wearer from being affected by any effects relating to gas or dust. Add +1 to the difficulty of all Speech tests while wearing a gas mask, as it miffles your speech.

"
Hard Hat,2,0,0,TRUE,FALSE,FALSE,FALSE,"0,5",15,1,
Hood or Cowl,1,0,1,TRUE,FALSE,FALSE,FALSE,2,5,1,
Sack Hood,0,0,2,TRUE,FALSE,FALSE,FALSE,1,5,0,
Welder's Visor,2,2,0,TRUE,FALSE,FALSE,FALSE,4,20,2,
ARMOUR,,,,,,,,,,,
RAIDER ARMOUR,,,,,,,,,,,
Raider Chest Piece,1,1,0,FALSE,FALSE,FALSE,TRUE,7,18,0,
Raider Leg,1,1,0,FALSE,FALSE,TRUE,FALSE,3,8,0,
Raider Arm,1,1,0,FALSE,TRUE,FALSE,FALSE,3,6,0,
Sturdy Raider Chest Piece,2,2,0,FALSE,FALSE,FALSE,TRUE,12,33,1,
Sturdy Raider Leg,2,2,0,FALSE,FALSE,TRUE,FALSE,7,13,1,
Sturdy Raider Arm,2,2,0,FALSE,TRUE,FALSE,FALSE,7,8,1,
Heavy Raider Chest Piece,3,3,0,FALSE,FALSE,FALSE,TRUE,17,48,2,
Heavy Raider Leg,3,3,0,FALSE,FALSE,TRUE,FALSE,10,18,2,
Heavy Raider Arm,3,3,0,FALSE,TRUE,FALSE,FALSE,10,15,2,
LEATHER ARMOUR,,,,,,,,,,,
Leather Chest Piece,1,2,0,FALSE,FALSE,FALSE,TRUE,5,25,1,
Leather Leg,1,2,0,FALSE,FALSE,TRUE,FALSE,2,10,1,
Leather Arm,1,2,0,FALSE,TRUE,FALSE,FALSE,2,8,1,
Sturdy Leather Chest Piece,2,3,0,FALSE,FALSE,FALSE,TRUE,10,50,2,
Sturdy Leather Leg,2,3,0,FALSE,FALSE,TRUE,FALSE,5,20,2,
Sturdy Leather Arm,2,3,0,FALSE,TRUE,FALSE,FALSE,5,18,2,
Heavy Leather Chest Piece,3,4,0,FALSE,FALSE,FALSE,TRUE,15,75,3,
Heavy Leather Leg,3,4,0,FALSE,FALSE,TRUE,FALSE,7,30,3,
Heavy Leather Arm,3,4,0,FALSE,TRUE,FALSE,FALSE,7,28,3,
METAL ARMOUR,,,,,,,,,,,
Metal Helmet,2,1,0,TRUE,FALSE,FALSE,FALSE,3,15,1,
Metal Chest Piece,2,1,0,FALSE,FALSE,FALSE,TRUE,6,40,1,
Metal Leg,2,1,0,FALSE,FALSE,TRUE,FALSE,3,15,1,
Metal Arm,2,1,0,FALSE,TRUE,FALSE,FALSE,3,15,1,
Sturdy Metal Helmet,3,2,0,TRUE,FALSE,FALSE,FALSE,8,65,2,
Sturdy Metal Chest Piece,3,2,0,FALSE,FALSE,FALSE,TRUE,16,115,2,
Sturdy Metal Leg,3,2,0,FALSE,FALSE,TRUE,FALSE,8,65,2,
Sturdy Metal Arm,3,2,0,FALSE,TRUE,FALSE,FALSE,8,65,2,
