Weapon type,name,Number of found,Weight,Cost,mods,Damage Rating,Effects,Damage type,Rate of Fire,Range,Qualities,Rarity,Creatures Damage Rating,Ammo
Small Guns,.44 Pistol,1,13,99,,6,Vicious,Physical,1,C,Close Quarters,2,7,
Small Guns,10mm Pistol,1,13,50,,4,,Physical,2,C,"Close Quarters, Reliable",1,6,
Small Guns,Flare Gun,1,13,50,,3,,Physical,0,M,Reliable,1,3,
Small Guns,Assault Rifle,1,13,144,,5,Burst,Physical,2,M,Two-Handed,2,7,
Small Guns,Combat Rifle,1,13,117,,5,,Physical,2,M,Two-Handed,2,7,
Small Guns,Gauss Rifle,1,13,228,,10,Piercing 1,Physical,1,L,Two-Handed,5,11,
Small Guns,Hunting Rifle,1,13,55,,6,Piercing 1,Physical,0,M,Two-Handed,2,6,
Small Guns,Submachine Gun,1,13,109,,3,Burst,Physical,3,C,"Inaccurate, Two-Handed",1,6,
Small Guns,Combat Shotgun,1,13,87,,5,Spread,Physical,2,C,"Inaccurate, Two-Handed",2,7,
Small Guns,Double-Barrel Shotgun,1,13,39,,5,"Vicious, Spread",Physical,0,C,"Inaccurate, Two-Handed",1,5,
Small Guns,Pipe Bolt-Action,1,13,30,,5,Piercing 1,Physical,0,C,Unreliable,0,5,
Small Guns,Pipe Gun,1,13,30,,3,,Physical,2,C,"Close Quarters, Unreliable",0,5,
Small Guns,Pipe Revolver,1,13,25,,4,,Physical,1,C,"Close Quarters, Unreliable",0,5,
Small Guns,Railway Rifle,1,13,290,,10,Breaking,Physical,0,M,"Two-Handed, Unreliable, Debilitating",4,10,
Small Guns,Syringer,1,13,132,,3,,Physical,0,M,Two-Handed,2,3,
Energy Weapon,Institute Laser,1,13,50,,3,Burst,Energy damage,3,C,"Close Quarters, Inaccurate",2,6,
Energy Weapon,Laser Musket,1,13,57,,5,Piercing 1,Energy damage,0,M,Two-Handed,1,5,
Energy Weapon,Laser Gun,1,13,69,,4,Piercing 1,Energy damage,2,C,Close Quarters,2,6,
Energy Weapon,Plasma Gun,1,13,123,,6,,Physical/Energy damage,1,C,Close Quarters,3,7,
Energy Weapon,Gamma Gun,1,13,15,,3,"Piercing 1, Stun",Radiation damage,1,M,"Inaccurate, Blast",5,4,
Big Guns,Fat Man,1,13,512,,21,"Vicious, Breaking, Radioactive",Physical/Energy damage/Radioactive,0,M,"Inaccurate,Two-Handed, Blast",4,21,
Big Guns,Flamer,1,13,137,,3,"Spread, Persistent, Burst",Energy damage,4,C,"Inaccurate, Two-Handed, Debilitating",3,7,
